"","FRUE_mean_TRUE_LEAVES","CLAY","SAND","P_ETP_mean_GERMINATION","PAR_TEMP_mean_TRUE_LEAVES","FRUE_mean_COTYLEDON","WG0006","PHAQ","WS2M_mean_TRUE_LEAVES","P_ETP_mean_FRUIT_DEVELOPMENT"
"FL86",-0.0284494243076762,-0.962255179450055,1.70747064687937,-0.44939919549458,1.46674392836216,0.0175092085325867,-1.02949819527501,-0.097142703798688,0.582584284610222,0.315026236532959
"FL87",0.569263412944285,-0.95903501495204,1.70128702532713,-0.508835131496387,0.172257102943852,0.513088995327265,-1.02949819527501,-0.117661453623122,-0.250467854250164,0.315026236532959
"FL88",0.538999471817604,-0.986299219715643,1.7047943323398,-0.317369749872245,-0.0178670136164385,0.915683708723353,-1.02949819527501,-0.285574477361488,1.44782252883567,0.315026236532959
"MI86",0.569263412944285,0.96230509319369,-0.147454346321422,-0.584377752445249,0.362172644905017,0.121223328861783,-1.02949819527501,1.60106607105936,0.404614054944594,0.315026236532959
"MI87",0.160876160880169,0.84232362444025,-0.25778553883484,0.599577018522047,-0.133880522984641,0.191728494405767,-1.02949819527501,1.64118334001421,1.01425675656515,0.315026236532959
"MI88",0.623808888230746,0.762759544212444,-0.219205704916509,0.631336678981028,-0.982843788892171,0.0568490472781445,-1.02949819527501,1.65266740856382,0.459519764096756,0.315026236532959
"OH86",0.536008268334152,1.71628796964121,-0.754084962929635,0.00158798302294922,-0.0532933212316337,-0.370269201959331,0.414724155643222,0.517078785610812,0.395147553366635,0.315026236532959
"OH87",0.242870326955946,1.74719747910399,-0.861552972846127,0.441232425662271,-0.26931848558695,0.328651569520173,0.414724155643222,0.538986433806168,0.671569399443036,0.315026236532959
"OH88",0.38979120393722,1.67388877371632,-0.831924336163895,0.611146609117819,-1.15074061832185,0.414483944965024,0.414724155643222,0.511632661949502,0.0827530012939901,0.315026236532959
"OK86",0.623808888230746,-0.133342614335064,-0.496410363665837,1.28377084669552,0.0992860735859621,0.915683708723353,-1.02949819527501,-0.306533061293511,-0.220175049200696,0.315026236532959
"OK87",0.62064173160121,-0.100685306267518,-0.497178614102245,-1.42532819045555,0.0541240397357081,0.915683708723353,-1.02949819527501,-0.391594534181922,0.674409349916423,0.315026236532959
"OK88",-0.270121070455916,-0.0959375439868746,-0.580950757146461,1.09298602922407,-0.714646711476486,0.573886927934034,-1.02949819527501,-0.37129472400216,0.00418103819693108,0.315026236532959
"OR86",-2.7319695139092,1.02032001573811,-1.41093892309315,-1.74927672713716,2.46191179706896,-2.61928180141311,0.903504017188272,-0.0675032606961299,-2.09643566195215,-4.08307321481952
"OR87",-3.13560603102902,0.926030314392283,-1.36392717056586,0.141103634324901,0.202408455830276,-0.573099279647462,0.892064557568687,-0.127462863488385,-2.19867387899411,-0.545919774847971
"OR88",-1.1482152459949,0.970522871598268,-1.39391863819929,-1.13109762177485,2.12897665678064,-2.72657227071918,0.895057940648944,-0.112240644858204,-2.03490340169542,-1.98655797752464
"SM86",0.623808888230746,-0.717463448666916,-0.070089884131197,1.61633986264456,-1.57152634413675,0.591002312323335,-0.047680368992878,-1.26282428768956,-0.0961638785294333,0.315026236532959
"SM87",0.496418810464947,-0.703608965256816,-0.0475683448660749,0.701661641425914,-1.01945943072354,0.223915635197587,-0.047680368992878,-1.33101030327821,-0.19840209557139,0.315026236532959
"SM88",0.623808888230746,-0.702713627260527,-0.0687299301148959,1.12656052742357,-0.863155141617426,0.915683708723353,-0.047680368992878,-1.28217747712884,-0.922589466285248,0.315026236532959
"SP86",0.489204731475447,-0.709760053568979,-0.0150105242236339,0.416278406730214,-0.532958772638899,-0.484201462222437,-0.047680368992878,-1.41773874743445,-0.355546021765508,0.315026236532959
"SP87",0.572958429012078,-0.709236077355242,-0.0469209611237455,-0.465959589876763,0.22085022970261,0.119179700875,-0.047680368992878,-1.30564164936054,-0.624394666579542,0.315026236532959
"SP88",-0.0842265716167349,-0.704881323189737,-0.109377942554716,0.961637147754429,-1.11141747638693,0.915683708723353,-0.047680368992878,-1.21173022552251,0.413133906364757,0.315026236532959
"WI86",-0.284989111300129,-1.0417033453837,1.35255076031718,0.343004332956994,-0.28099967385409,-0.811181940107585,1.90075695476415,1.11455139220267,1.03318975972107,0.315026236532959
"WI87",-0.0504435675683464,-1.04835188406799,1.35395824617946,-1.95458024653271,0.580528298622131,0.876854776974491,1.88148503212413,1.10632747179956,0.513478823091121,0.315026236532959
"WI88",0.0524890228915883,-1.04636208257948,1.35296890475658,-1.3819989394008,0.952848073930518,-1.02218652974284,1.83452500220849,1.00463684871164,1.3010917543773,0.315026236532959
