"","Scenario","N","Mean_H2","SD_H2","Mean_Vg","Mean_Vge","Mean_Vu","Mean_Trials"
"1","MET",1,0.972978428207269,NA,1519.46096050443,440.654525726256,2.29791314217092,21
"2","MET_EC",1,0.878298048395073,NA,1589.86027324351,554.718523644992,3.34357054601323,21
"3","WC_MET",1,0.940046642684541,NA,2011.67494085914,451.1250454741,1.39879716020285,7
"4","OPT_MET",10,0.878602710631879,0.0476767657208677,2127.93182202215,216.449406608635,2.59755399603282,3
"5","HT_MET",1,0.974924441734342,NA,4159.19407214469,0,2.60412100212795,3
