"env","daily_maximum_near_surface_air_temperature","daily_minimum_near_surface_air_temperature","evaporation_including_sublimation_and_transpiration","moisture_in_upper_portion_of_soil_column","near_surface_air_temperature","near_surface_specific_humidity","near_surface_wind_speed","precipitation","relative_humidity","surface_air_pressure","surface_downwelling_longwave_radiation","surface_downwelling_shortwave_radiation"
"California_San_Joaquin",0.610256947863102,-0.121026161399069,-2.1639388066631,-1.48618279515539,-0.533473671721022,-1.30075593637389,-0.887449427142609,-2.65966586319614,0,-1.45249868383882,-1.36163261119673,3.68317801182925
"Florida_Jackson",0.989165211454058,1.37585498438406,0.881096108214829,-0.0279504545571222,1.24516613587613,1.53246413368238,-1.62318636170634,0.992644635719074,0,1.08308364298035,1.4366194461207,-0.419101986277734
"Michigan_Arenac",-1.30910992010077,-0.702818851898521,-0.32615955224317,1.25047308797969,-0.800920529490594,-0.55671786396913,1.06190853391289,-0.362539442466253,0,-0.14407194223839,-0.815688380164604,-0.116403659805308
"Michigan_Berrien",-0.598400151407082,-0.420247162455403,-0.259056735032953,-0.657316155907667,-0.266156536623226,-0.316741656923266,0.856106859437537,-0.178735683670405,0,-0.158688051158742,-0.382676820722267,-0.0773914415887714
"Michigan_Sanilac",-1.30910992010077,-0.702818851898521,-0.32615955224317,1.25047308797969,-0.800920529490594,-0.55671786396913,1.06190853391289,-0.362539442466253,0,-0.14407194223839,-0.815688380164604,-0.116403659805308
"Michigan_Tuscola",-1.30910992010077,-0.702818851898521,-0.32615955224317,1.25047308797969,-0.800920529490594,-0.55671786396913,1.06190853391289,-0.362539442466253,0,-0.14407194223839,-0.815688380164604,-0.116403659805308
"North_Carolina_Johnston",0.88658976699543,0.467276697595506,0.941129027913673,-0.0564030162004955,0.699176417912767,0.743920853734719,-0.945289342034662,1.07474101789255,0,0.967758995878735,0.7982698763537,-0.452049967418118
"North_Carolina_Nash",0.88658976699543,0.467276697595506,0.941129027913673,-0.0564030162004955,0.699176417912767,0.743920853734719,-0.945289342034662,1.07474101789255,0,0.967758995878735,0.7982698763537,-0.452049967418118
"North_Carolina_Sampson",0.381960836008143,0.924272402737184,0.937714540105043,0.0915827207789948,0.84769862399467,1.10343577548484,-0.427043178023031,1.10173620535593,0,1.25408157024922,0.972623622952981,-0.416049249077678
"Ohio_Sandusky",-0.636633594838128,-0.48372976772569,0.297643802828953,1.01912809206348,-0.368699985019326,-0.244495542295597,0.644957834631307,0.31701373500797,0,-0.278273927887633,-0.380895056590073,-0.3290458501333
"Wisconsin_Waushara",0.178677562497793,-1.0696265668893,-0.62284435432964,-0.401246297326449,-0.452104176391001,-0.889010263552082,1.10468542190802,-0.475814119297502,0,-0.728633756468773,-0.670303602445523,-0.0544212217935101
