"env","daily_maximum_near_surface_air_temperature","daily_minimum_near_surface_air_temperature","evaporation_including_sublimation_and_transpiration","moisture_in_upper_portion_of_soil_column","near_surface_air_temperature","near_surface_specific_humidity","near_surface_wind_speed","precipitation","relative_humidity","surface_air_pressure","surface_downwelling_longwave_radiation","surface_downwelling_shortwave_radiation"
"California_San_Joaquin",0.597147134867807,0.415021214000573,-1.04466413689918,-1.16558356352393,-0.12813237976672,-0.714268028959158,-1.15116481922443,-2.55219541327074,6.30498596716709e-15,-1.42861675819818,-0.775629411680714,2.7016580411082
"Florida_Jackson",1.28271142874887,1.36715057509237,1.23393142341136,-0.38595147087899,1.4497540720497,1.63730328843989,-1.52455216318003,0.958406386177752,6.30498596716709e-15,1.06155262418196,1.58007633570849,0.581474085030011
"Michigan_Arenac",-1.35514439715479,-0.851104732625184,-0.748934235327978,1.27563342205184,-1.0030447406422,-0.729504227737479,1.07265189655705,-0.658076067663159,6.30498596716709e-15,-0.136641603860527,-0.94560665939052,-0.539694388000963
"Michigan_Berrien",-0.731682200630133,-0.531565762249635,-0.647331015883822,-0.542504322018857,-0.492665280439506,-0.474008113658351,0.917948486415659,-0.373156412241483,6.30498596716709e-15,-0.150242609482474,-0.552034131131374,-0.321603526258854
"Michigan_Sanilac",-1.35514439715479,-0.851104732625184,-0.748934235327978,1.27563342205184,-1.0030447406422,-0.729504227737479,1.07265189655705,-0.658076067663159,6.30498596716709e-15,-0.136641603860527,-0.94560665939052,-0.539694388000963
"Michigan_Tuscola",-1.35514439715479,-0.851104732625184,-0.748934235327978,1.27563342205184,-1.0030447406422,-0.729504227737479,1.07265189655705,-0.658076067663159,6.30498596716709e-15,-0.136641603860527,-0.94560665939052,-0.539694388000963
"North_Carolina_Johnston",0.919443355676569,0.405779964171371,0.877722859507472,-0.290988503150325,0.741153270868807,0.610410519649966,-0.904564619822809,1.1858105120603,6.30498596716709e-15,0.972333538242895,0.720525187161855,0.212727227720993
"North_Carolina_Nash",0.919443355676569,0.405779964171371,0.877722859507472,-0.290988503150325,0.741153270868807,0.610410519649966,-0.904564619822809,1.1858105120603,6.30498596716709e-15,0.972333538242895,0.720525187161855,0.212727227720993
"North_Carolina_Sampson",0.659227822546783,0.868071766860904,1.34626043938526,-0.267035410488165,0.977814303685312,1.00285047343128,-0.474383493683182,1.30163134630392,6.30498596716709e-15,1.25331892919038,0.981440979891176,0.301245710626142
"Ohio_Sandusky",-0.717850526308859,-0.579674382703986,-0.220012706307889,0.856643399304599,-0.525614330114412,-0.421040086360247,0.726465011041495,0.274567492049592,6.30498596716709e-15,-0.27368220296585,-0.522674041743268,-0.532006970185151
"Wisconsin_Waushara",-0.522550761408534,-1.17807529419382,-0.99663577714752,0.00182862181290834,-0.813403381073117,-0.974396549842211,1.07581830714756,-0.851266691765522,6.30498596716709e-15,-0.719184063207683,-0.933363587471844,-0.313291421197799
